"","dishID","group","targettempC","contaminant","treatment","rep","spp","year","Day","NfishRem","Nmort","Nexptloss"
"1","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday1",21,NA,NA
"2","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday2",21,0,0
"3","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday3",20,1,0
"4","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday4",20,0,0
"5","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday5",20,0,NA
"6","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday1",20,NA,NA
"7","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday2",20,0,0
"8","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday3",20,0,0
"9","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday4",20,0,0
"10","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday5",20,0,NA
"11","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday1",20,NA,NA
"12","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday2",20,0,0
"13","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday3",20,0,0
"14","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday4",19,1,0
"15","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday5",19,0,NA
"16","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday1",20,NA,NA
"17","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday2",20,0,0
"18","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday3",20,0,0
"19","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday4",19,1,0
"20","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday5",19,0,NA
"21","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday1",20,NA,NA
"22","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday2",20,0,0
"23","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday3",20,0,0
"24","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday4",20,0,0
"25","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday5",20,0,NA
"26","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday1",20,NA,NA
"27","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday2",20,0,0
"28","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday3",20,0,0
"29","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday4",20,0,0
"30","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday5",20,0,NA
"31","g-15C-0005ng-R3","g",15,"bif",5,3,"GS",2020,"Nday1",20,NA,NA
"32","g-15C-0005ng-R3","g",15,"bif",5,3,"GS",2020,"Nday2",20,0,0
"33","g-15C-0005ng-R3","g",15,"bif",5,3,"GS",2020,"Nday3",20,0,0
"34","g-15C-0005ng-R3","g",15,"bif",5,3,"GS",2020,"Nday4",19,0,1
"35","g-15C-0005ng-R3","g",15,"bif",5,3,"GS",2020,"Nday5",19,0,NA
"36","g-15C-0005ng-R4","g",15,"bif",5,4,"GS",2020,"Nday1",20,NA,NA
"37","g-15C-0005ng-R4","g",15,"bif",5,4,"GS",2020,"Nday2",20,0,0
"38","g-15C-0005ng-R4","g",15,"bif",5,4,"GS",2020,"Nday3",20,0,0
"39","g-15C-0005ng-R4","g",15,"bif",5,4,"GS",2020,"Nday4",20,0,0
"40","g-15C-0005ng-R4","g",15,"bif",5,4,"GS",2020,"Nday5",20,0,NA
"41","g-15C-0100ng-R1","g",15,"bif",100,1,"GS",2020,"Nday1",20,NA,NA
"42","g-15C-0100ng-R1","g",15,"bif",100,1,"GS",2020,"Nday2",20,0,0
"43","g-15C-0100ng-R1","g",15,"bif",100,1,"GS",2020,"Nday3",20,0,0
"44","g-15C-0100ng-R1","g",15,"bif",100,1,"GS",2020,"Nday4",20,0,0
"45","g-15C-0100ng-R1","g",15,"bif",100,1,"GS",2020,"Nday5",20,0,NA
"46","g-15C-0100ng-R2","g",15,"bif",100,2,"GS",2020,"Nday1",22,NA,NA
"47","g-15C-0100ng-R2","g",15,"bif",100,2,"GS",2020,"Nday2",22,0,0
"48","g-15C-0100ng-R2","g",15,"bif",100,2,"GS",2020,"Nday3",22,0,0
"49","g-15C-0100ng-R2","g",15,"bif",100,2,"GS",2020,"Nday4",22,0,0
"50","g-15C-0100ng-R2","g",15,"bif",100,2,"GS",2020,"Nday5",22,0,NA
"51","g-15C-0100ng-R3","g",15,"bif",100,3,"GS",2020,"Nday1",19,NA,NA
"52","g-15C-0100ng-R3","g",15,"bif",100,3,"GS",2020,"Nday2",19,0,0
"53","g-15C-0100ng-R3","g",15,"bif",100,3,"GS",2020,"Nday3",19,0,0
"54","g-15C-0100ng-R3","g",15,"bif",100,3,"GS",2020,"Nday4",19,0,0
"55","g-15C-0100ng-R3","g",15,"bif",100,3,"GS",2020,"Nday5",19,0,NA
"56","g-15C-0100ng-R4","g",15,"bif",100,4,"GS",2020,"Nday1",20,NA,NA
"57","g-15C-0100ng-R4","g",15,"bif",100,4,"GS",2020,"Nday2",20,0,0
"58","g-15C-0100ng-R4","g",15,"bif",100,4,"GS",2020,"Nday3",20,0,0
"59","g-15C-0100ng-R4","g",15,"bif",100,4,"GS",2020,"Nday4",20,0,0
"60","g-15C-0100ng-R4","g",15,"bif",100,4,"GS",2020,"Nday5",20,0,NA
"61","g-15C-0500ng-R1","g",15,"bif",500,1,"GS",2020,"Nday1",20,NA,NA
"62","g-15C-0500ng-R1","g",15,"bif",500,1,"GS",2020,"Nday2",20,0,0
"63","g-15C-0500ng-R1","g",15,"bif",500,1,"GS",2020,"Nday3",20,0,0
"64","g-15C-0500ng-R1","g",15,"bif",500,1,"GS",2020,"Nday4",20,0,0
"65","g-15C-0500ng-R1","g",15,"bif",500,1,"GS",2020,"Nday5",20,0,NA
"66","g-15C-0500ng-R2","g",15,"bif",500,2,"GS",2020,"Nday1",20,NA,NA
"67","g-15C-0500ng-R2","g",15,"bif",500,2,"GS",2020,"Nday2",19,1,0
"68","g-15C-0500ng-R2","g",15,"bif",500,2,"GS",2020,"Nday3",19,0,0
"69","g-15C-0500ng-R2","g",15,"bif",500,2,"GS",2020,"Nday4",19,0,0
"70","g-15C-0500ng-R2","g",15,"bif",500,2,"GS",2020,"Nday5",19,0,NA
"71","g-15C-0500ng-R3","g",15,"bif",500,3,"GS",2020,"Nday1",20,NA,NA
"72","g-15C-0500ng-R3","g",15,"bif",500,3,"GS",2020,"Nday2",20,0,0
"73","g-15C-0500ng-R3","g",15,"bif",500,3,"GS",2020,"Nday3",20,0,0
"74","g-15C-0500ng-R3","g",15,"bif",500,3,"GS",2020,"Nday4",20,0,0
"75","g-15C-0500ng-R3","g",15,"bif",500,3,"GS",2020,"Nday5",20,0,NA
"76","g-15C-0500ng-R4","g",15,"bif",500,4,"GS",2020,"Nday1",20,NA,NA
"77","g-15C-0500ng-R4","g",15,"bif",500,4,"GS",2020,"Nday2",20,0,0
"78","g-15C-0500ng-R4","g",15,"bif",500,4,"GS",2020,"Nday3",20,0,0
"79","g-15C-0500ng-R4","g",15,"bif",500,4,"GS",2020,"Nday4",19,1,0
"80","g-15C-0500ng-R4","g",15,"bif",500,4,"GS",2020,"Nday5",19,0,NA
"81","g-15C-1000ng-R1","g",15,"bif",1000,1,"GS",2020,"Nday1",20,NA,NA
"82","g-15C-1000ng-R1","g",15,"bif",1000,1,"GS",2020,"Nday2",19,0,1
"83","g-15C-1000ng-R1","g",15,"bif",1000,1,"GS",2020,"Nday3",19,0,0
"84","g-15C-1000ng-R1","g",15,"bif",1000,1,"GS",2020,"Nday4",19,0,0
"85","g-15C-1000ng-R1","g",15,"bif",1000,1,"GS",2020,"Nday5",19,0,NA
"86","g-15C-1000ng-R2","g",15,"bif",1000,2,"GS",2020,"Nday1",20,NA,NA
"87","g-15C-1000ng-R2","g",15,"bif",1000,2,"GS",2020,"Nday2",20,0,0
"88","g-15C-1000ng-R2","g",15,"bif",1000,2,"GS",2020,"Nday3",20,0,0
"89","g-15C-1000ng-R2","g",15,"bif",1000,2,"GS",2020,"Nday4",20,0,0
"90","g-15C-1000ng-R2","g",15,"bif",1000,2,"GS",2020,"Nday5",20,0,NA
"91","g-15C-1000ng-R3","g",15,"bif",1000,3,"GS",2020,"Nday1",20,NA,NA
"92","g-15C-1000ng-R3","g",15,"bif",1000,3,"GS",2020,"Nday2",20,0,0
"93","g-15C-1000ng-R3","g",15,"bif",1000,3,"GS",2020,"Nday3",19,0,1
"94","g-15C-1000ng-R3","g",15,"bif",1000,3,"GS",2020,"Nday4",19,0,0
"95","g-15C-1000ng-R3","g",15,"bif",1000,3,"GS",2020,"Nday5",19,0,NA
"96","g-15C-1000ng-R4","g",15,"bif",1000,4,"GS",2020,"Nday1",22,NA,NA
"97","g-15C-1000ng-R4","g",15,"bif",1000,4,"GS",2020,"Nday2",22,0,0
"98","g-15C-1000ng-R4","g",15,"bif",1000,4,"GS",2020,"Nday3",22,0,0
"99","g-15C-1000ng-R4","g",15,"bif",1000,4,"GS",2020,"Nday4",22,0,0
"100","g-15C-1000ng-R4","g",15,"bif",1000,4,"GS",2020,"Nday5",22,0,NA
"101","g-15C-2000ng-R1","g",15,"bif",2000,1,"GS",2020,"Nday1",19,NA,NA
"102","g-15C-2000ng-R1","g",15,"bif",2000,1,"GS",2020,"Nday2",19,0,0
"103","g-15C-2000ng-R1","g",15,"bif",2000,1,"GS",2020,"Nday3",19,0,0
"104","g-15C-2000ng-R1","g",15,"bif",2000,1,"GS",2020,"Nday4",18,1,0
"105","g-15C-2000ng-R1","g",15,"bif",2000,1,"GS",2020,"Nday5",17,1,NA
"106","g-15C-2000ng-R2","g",15,"bif",2000,2,"GS",2020,"Nday1",19,NA,NA
"107","g-15C-2000ng-R2","g",15,"bif",2000,2,"GS",2020,"Nday2",19,0,0
"108","g-15C-2000ng-R2","g",15,"bif",2000,2,"GS",2020,"Nday3",19,0,0
"109","g-15C-2000ng-R2","g",15,"bif",2000,2,"GS",2020,"Nday4",19,0,0
"110","g-15C-2000ng-R2","g",15,"bif",2000,2,"GS",2020,"Nday5",19,0,NA
"111","g-15C-2000ng-R3","g",15,"bif",2000,3,"GS",2020,"Nday1",21,NA,NA
"112","g-15C-2000ng-R3","g",15,"bif",2000,3,"GS",2020,"Nday2",21,0,0
"113","g-15C-2000ng-R3","g",15,"bif",2000,3,"GS",2020,"Nday3",21,0,0
"114","g-15C-2000ng-R3","g",15,"bif",2000,3,"GS",2020,"Nday4",19,2,0
"115","g-15C-2000ng-R3","g",15,"bif",2000,3,"GS",2020,"Nday5",19,0,NA
"116","g-15C-2000ng-R4","g",15,"bif",2000,4,"GS",2020,"Nday1",19,NA,NA
"117","g-15C-2000ng-R4","g",15,"bif",2000,4,"GS",2020,"Nday2",19,0,0
"118","g-15C-2000ng-R4","g",15,"bif",2000,4,"GS",2020,"Nday3",19,0,0
"119","g-15C-2000ng-R4","g",15,"bif",2000,4,"GS",2020,"Nday4",19,0,0
"120","g-15C-2000ng-R4","g",15,"bif",2000,4,"GS",2020,"Nday5",19,0,NA
"121","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday1",50,NA,NA
"122","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday2",50,0,0
"123","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday3",50,0,0
"124","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday4",50,0,0
"125","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday5",50,0,0
"126","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday6",50,0,0
"127","g-15C-0000ng-R1","g",15,"bif",0,1,"WS",2020,"Nday7",50,0,NA
"128","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday1",50,NA,NA
"129","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday2",50,0,0
"130","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday3",50,0,0
"131","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday4",50,0,0
"132","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday5",50,0,0
"133","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday6",50,0,0
"134","g-15C-0000ng-R2","g",15,"bif",0,2,"WS",2020,"Nday7",50,0,NA
"135","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday1",50,NA,NA
"136","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday2",49,0,1
"137","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday3",49,0,0
"138","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday4",49,0,0
"139","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday5",49,0,0
"140","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday6",49,0,0
"141","g-15C-0000ng-R3","g",15,"bif",0,3,"WS",2020,"Nday7",49,0,NA
"142","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday1",50,NA,NA
"143","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday2",50,0,0
"144","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday3",50,0,0
"145","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday4",50,0,0
"146","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday5",50,0,0
"147","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday6",50,0,0
"148","g-15C-0000ng-R4","g",15,"bif",0,4,"WS",2020,"Nday7",50,0,NA
"149","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday1",50,NA,NA
"150","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday2",50,0,0
"151","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday3",50,0,0
"152","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday4",50,0,0
"153","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday5",49,0,1
"154","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday6",49,0,0
"155","g-15C-0005ng-R1","g",15,"bif",5,1,"WS",2020,"Nday7",49,0,NA
"156","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday1",50,NA,NA
"157","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday2",50,0,0
"158","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday3",50,0,0
"159","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday4",50,0,0
"160","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday5",50,0,0
"161","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday6",50,0,0
"162","g-15C-0005ng-R2","g",15,"bif",5,2,"WS",2020,"Nday7",50,0,NA
"163","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday1",50,NA,NA
"164","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday2",50,0,0
"165","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday3",49,0,1
"166","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday4",49,0,0
"167","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday5",49,0,0
"168","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday6",49,0,0
"169","g-15C-0005ng-R3","g",15,"bif",5,3,"WS",2020,"Nday7",49,0,NA
"170","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday1",50,NA,NA
"171","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday2",50,0,0
"172","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday3",49,1,0
"173","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday4",49,0,0
"174","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday5",49,0,0
"175","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday6",49,0,0
"176","g-15C-0005ng-R4","g",15,"bif",5,4,"WS",2020,"Nday7",49,0,NA
"177","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday1",50,NA,NA
"178","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday2",50,0,0
"179","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday3",50,0,0
"180","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday4",50,0,0
"181","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday5",50,0,0
"182","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday6",49,0,1
"183","g-15C-0100ng-R1","g",15,"bif",100,1,"WS",2020,"Nday7",49,0,NA
"184","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday1",50,NA,NA
"185","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday2",49,0,1
"186","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday3",48,0,1
"187","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday4",48,0,0
"188","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday5",47,1,0
"189","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday6",47,0,0
"190","g-15C-0100ng-R2","g",15,"bif",100,2,"WS",2020,"Nday7",47,0,NA
"191","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday1",50,NA,NA
"192","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday2",50,0,0
"193","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday3",50,0,0
"194","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday4",50,0,0
"195","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday5",50,0,0
"196","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday6",50,0,0
"197","g-15C-0100ng-R3","g",15,"bif",100,3,"WS",2020,"Nday7",50,0,NA
"198","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday1",50,NA,NA
"199","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday2",50,0,0
"200","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday3",50,0,0
"201","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday4",50,0,0
"202","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday5",50,0,0
"203","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday6",50,0,0
"204","g-15C-0100ng-R4","g",15,"bif",100,4,"WS",2020,"Nday7",50,0,NA
"205","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday1",50,NA,NA
"206","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday2",50,0,0
"207","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday3",50,0,0
"208","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday4",50,0,0
"209","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday5",50,0,0
"210","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday6",50,0,0
"211","g-15C-0500ng-R1","g",15,"bif",500,1,"WS",2020,"Nday7",50,0,NA
"212","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday1",50,NA,NA
"213","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday2",50,0,0
"214","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday3",50,0,0
"215","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday4",50,0,0
"216","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday5",50,0,0
"217","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday6",50,0,0
"218","g-15C-0500ng-R2","g",15,"bif",500,2,"WS",2020,"Nday7",50,0,NA
"219","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday1",50,NA,NA
"220","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday2",50,0,0
"221","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday3",49,1,0
"222","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday4",49,0,0
"223","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday5",49,0,0
"224","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday6",49,0,0
"225","g-15C-0500ng-R3","g",15,"bif",500,3,"WS",2020,"Nday7",49,0,NA
"226","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday1",50,NA,NA
"227","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday2",50,0,0
"228","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday3",50,0,0
"229","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday4",50,0,0
"230","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday5",50,0,0
"231","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday6",50,0,0
"232","g-15C-0500ng-R4","g",15,"bif",500,4,"WS",2020,"Nday7",50,0,NA
"233","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday1",50,NA,NA
"234","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday2",50,0,0
"235","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday3",50,0,0
"236","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday4",50,0,0
"237","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday5",50,0,0
"238","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday6",50,0,0
"239","g-15C-1000ng-R1","g",15,"bif",1000,1,"WS",2020,"Nday7",50,0,NA
"240","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday1",50,NA,NA
"241","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday2",50,0,0
"242","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday3",50,0,0
"243","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday4",50,0,0
"244","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday5",50,0,0
"245","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday6",50,0,0
"246","g-15C-1000ng-R2","g",15,"bif",1000,2,"WS",2020,"Nday7",50,0,NA
"247","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday1",50,NA,NA
"248","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday2",50,0,0
"249","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday3",50,0,0
"250","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday4",50,0,0
"251","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday5",50,0,0
"252","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday6",49,0,1
"253","g-15C-1000ng-R3","g",15,"bif",1000,3,"WS",2020,"Nday7",49,0,NA
"254","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday1",50,NA,NA
"255","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday2",50,0,0
"256","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday3",50,0,0
"257","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday4",50,0,0
"258","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday5",50,0,0
"259","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday6",50,0,0
"260","g-15C-1000ng-R4","g",15,"bif",1000,4,"WS",2020,"Nday7",50,0,NA
"261","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday1",50,NA,NA
"262","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday2",50,0,0
"263","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday3",50,0,0
"264","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday4",50,0,0
"265","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday5",50,0,0
"266","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday6",50,0,0
"267","g-15C-2000ng-R1","g",15,"bif",2000,1,"WS",2020,"Nday7",50,0,NA
"268","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday1",50,NA,NA
"269","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday2",50,0,0
"270","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday3",50,0,0
"271","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday4",49,1,0
"272","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday5",48,1,0
"273","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday6",47,1,0
"274","g-15C-2000ng-R2","g",15,"bif",2000,2,"WS",2020,"Nday7",47,0,NA
"275","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday1",50,NA,NA
"276","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday2",50,0,0
"277","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday3",50,0,0
"278","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday4",50,0,0
"279","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday5",50,0,0
"280","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday6",50,0,0
"281","g-15C-2000ng-R3","g",15,"bif",2000,3,"WS",2020,"Nday7",50,0,NA
"282","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday1",50,NA,NA
"283","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday2",50,0,0
"284","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday3",50,0,0
"285","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday4",50,0,0
"286","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday5",50,0,0
"287","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday6",50,0,0
"288","g-15C-2000ng-R4","g",15,"bif",2000,4,"WS",2020,"Nday7",50,0,NA
