spp,contaminant,year,targettemp,date,time,group,rep,treatment,tempC
WS,bif,2020,15,5/31/20,11:20,lg,1,control,16
WS,bif,2020,15,5/31/20,11:20,lg,2,control,16
WS,bif,2020,15,5/31/20,11:20,lg,3,control,16
WS,bif,2020,15,5/31/20,11:20,lg,4,control,16.1
WS,bif,2020,15,5/31/20,11:20,sm,1,control,16
WS,bif,2020,15,5/31/20,11:20,sm,2,control,16
WS,bif,2020,15,5/31/20,11:20,sm,3,control,16
WS,bif,2020,15,5/31/20,11:20,sm,4,control,16.3
WS,bif,2020,15,5/31/20,11:20,sm,5,control,16
WS,bif,2020,15,5/31/20,11:20,sm,6,control,16.3
WS,bif,2020,15,5/31/20,11:20,sm,7,control,16
WS,bif,2020,15,5/31/20,11:20,sm,8,control,15.5
WS,bif,2020,15,6/1/20,8:00,lg,1,control,13.7
WS,bif,2020,15,6/1/20,8:00,lg,2,control,14.6
WS,bif,2020,15,6/1/20,8:00,lg,3,control,13.7
WS,bif,2020,15,6/1/20,8:00,lg,4,control,14.7
WS,bif,2020,15,6/1/20,8:00,sm,1,control,15.1
WS,bif,2020,15,6/1/20,8:00,sm,2,control,15.2
WS,bif,2020,15,6/1/20,8:00,sm,3,control,15
WS,bif,2020,15,6/1/20,8:00,sm,4,control,15.1
WS,bif,2020,15,6/1/20,8:00,sm,5,control,15
WS,bif,2020,15,6/1/20,8:00,sm,6,control,14.8
WS,bif,2020,15,6/1/20,8:00,sm,7,control,15
WS,bif,2020,15,6/1/20,8:00,sm,8,control,15
WS,bif,2020,15,6/1/20,10:40,lg,1,control,14.9
WS,bif,2020,15,6/1/20,10:40,lg,2,control,15.7
WS,bif,2020,15,6/1/20,10:40,lg,3,control,14.9
WS,bif,2020,15,6/1/20,10:40,lg,4,control,15.6
WS,bif,2020,15,6/1/20,10:40,sm,1,control,15.9
WS,bif,2020,15,6/1/20,10:40,sm,2,control,15.9
WS,bif,2020,15,6/1/20,10:40,sm,3,control,16.3
WS,bif,2020,15,6/1/20,10:40,sm,4,control,16.1
WS,bif,2020,15,6/1/20,10:40,sm,5,control,16
WS,bif,2020,15,6/1/20,10:40,sm,6,control,15.9
WS,bif,2020,15,6/1/20,10:40,sm,7,control,16
WS,bif,2020,15,6/1/20,10:40,sm,8,control,15.8
WS,bif,2020,15,6/2/20,,lg,1,control,14.6
WS,bif,2020,15,6/2/20,,lg,2,control,15.5
WS,bif,2020,15,6/2/20,,lg,3,control,14.6
WS,bif,2020,15,6/2/20,,lg,4,control,15.5
WS,bif,2020,15,6/2/20,,sm,1,control,15.7
WS,bif,2020,15,6/2/20,,sm,2,control,15.7
WS,bif,2020,15,6/2/20,,sm,3,control,15.8
WS,bif,2020,15,6/2/20,,sm,4,control,15.8
WS,bif,2020,15,6/2/20,,sm,5,control,15.7
WS,bif,2020,15,6/2/20,,sm,6,control,15.7
WS,bif,2020,15,6/2/20,,sm,7,control,15.6
WS,bif,2020,15,6/2/20,,sm,8,control,15.5
WS,bif,2020,15,6/2/20,10:30,lg,1,control,15.4
WS,bif,2020,15,6/2/20,10:30,lg,2,control,16.2
WS,bif,2020,15,6/2/20,10:30,lg,3,control,15.5
WS,bif,2020,15,6/2/20,10:30,lg,4,control,16.1
WS,bif,2020,15,6/2/20,10:30,sm,1,control,16.7
WS,bif,2020,15,6/2/20,10:30,sm,2,control,16.8
WS,bif,2020,15,6/2/20,10:30,sm,3,control,16.6
WS,bif,2020,15,6/2/20,10:30,sm,4,control,16.7
WS,bif,2020,15,6/2/20,10:30,sm,5,control,16.5
WS,bif,2020,15,6/2/20,10:30,sm,6,control,16.6
WS,bif,2020,15,6/2/20,10:30,sm,7,control,16.5
WS,bif,2020,15,6/2/20,10:30,sm,8,control,16.4
WS,bif,2020,15,6/3/20,8:15,lg,1,control,14.4
WS,bif,2020,15,6/3/20,8:15,lg,2,control,15.5
WS,bif,2020,15,6/3/20,8:15,lg,3,control,14.5
WS,bif,2020,15,6/3/20,8:15,lg,4,control,15.2
WS,bif,2020,15,6/3/20,8:15,sm,1,control,15.5
WS,bif,2020,15,6/3/20,8:15,sm,2,control,15.5
WS,bif,2020,15,6/3/20,8:15,sm,3,control,15.5
WS,bif,2020,15,6/3/20,8:15,sm,4,control,15.6
WS,bif,2020,15,6/3/20,8:15,sm,5,control,15.5
WS,bif,2020,15,6/3/20,8:15,sm,6,control,15.4
WS,bif,2020,15,6/3/20,8:15,sm,7,control,15.5
WS,bif,2020,15,6/3/20,8:15,sm,8,control,15.5
WS,bif,2020,15,6/3/20,10:05,lg,1,control,15.4
WS,bif,2020,15,6/3/20,10:05,lg,2,control,16.2
WS,bif,2020,15,6/3/20,10:05,lg,3,control,15.4
WS,bif,2020,15,6/3/20,10:05,lg,4,control,16.3
WS,bif,2020,15,6/3/20,10:05,sm,1,control,16.5
WS,bif,2020,15,6/3/20,10:05,sm,2,control,16.4
WS,bif,2020,15,6/3/20,10:05,sm,3,control,16.4
WS,bif,2020,15,6/3/20,10:05,sm,4,control,16.4
WS,bif,2020,15,6/3/20,10:05,sm,5,control,16.5
WS,bif,2020,15,6/3/20,10:05,sm,6,control,16.4
WS,bif,2020,15,6/3/20,10:05,sm,7,control,16.3
WS,bif,2020,15,6/3/20,10:05,sm,8,control,16.3
WS,bif,2020,15,6/4/20,8:30,lg,1,control,15
WS,bif,2020,15,6/4/20,8:30,lg,2,control,15.7
WS,bif,2020,15,6/4/20,8:30,lg,3,control,15.2
WS,bif,2020,15,6/4/20,8:30,lg,4,control,15.4
WS,bif,2020,15,6/4/20,8:30,sm,1,control,15.8
WS,bif,2020,15,6/4/20,8:30,sm,2,control,15.8
WS,bif,2020,15,6/4/20,8:30,sm,3,control,15.8
WS,bif,2020,15,6/4/20,8:30,sm,4,control,15.8
WS,bif,2020,15,6/4/20,8:30,sm,5,control,15.9
WS,bif,2020,15,6/4/20,8:30,sm,6,control,15.9
WS,bif,2020,15,6/4/20,8:30,sm,7,control,15.9
WS,bif,2020,15,6/4/20,8:30,sm,8,control,15.9
WS,bif,2020,15,6/4/20,10:44,lg,1,control,15.7
WS,bif,2020,15,6/4/20,10:44,lg,2,control,16.3
WS,bif,2020,15,6/4/20,10:44,lg,3,control,15.8
WS,bif,2020,15,6/4/20,10:44,lg,4,control,16.2
WS,bif,2020,15,6/4/20,10:44,sm,1,control,17
WS,bif,2020,15,6/4/20,10:44,sm,2,control,16.9
WS,bif,2020,15,6/4/20,10:44,sm,3,control,16.8
WS,bif,2020,15,6/4/20,10:44,sm,4,control,16.7
WS,bif,2020,15,6/4/20,10:44,sm,5,control,16.9
WS,bif,2020,15,6/4/20,10:44,sm,6,control,16.9
WS,bif,2020,15,6/4/20,10:44,sm,7,control,16.7
WS,bif,2020,15,6/4/20,10:44,sm,8,control,16.8
WS,bif,2020,15,6/5/20,8:27,lg,1,control,15.1
WS,bif,2020,15,6/5/20,8:27,lg,2,control,15
WS,bif,2020,15,6/5/20,8:27,lg,3,control,14.7
WS,bif,2020,15,6/5/20,8:27,lg,4,control,15.1
WS,bif,2020,15,6/5/20,8:27,sm,1,control,15.2
WS,bif,2020,15,6/5/20,8:27,sm,2,control,15.2
WS,bif,2020,15,6/5/20,8:27,sm,3,control,15.3
WS,bif,2020,15,6/5/20,8:27,sm,4,control,15.3
WS,bif,2020,15,6/5/20,8:27,sm,5,control,15.4
WS,bif,2020,15,6/5/20,8:27,sm,6,control,15.4
WS,bif,2020,15,6/5/20,8:27,sm,7,control,15.4
WS,bif,2020,15,6/5/20,8:27,sm,8,control,15.3
WS,bif,2020,15,6/5/20,10:50,lg,1,control,15.6
WS,bif,2020,15,6/5/20,10:50,lg,2,control,15.7
WS,bif,2020,15,6/5/20,10:50,lg,3,control,15.6
WS,bif,2020,15,6/5/20,10:50,lg,4,control,15.7
WS,bif,2020,15,6/5/20,10:50,sm,1,control,16
WS,bif,2020,15,6/5/20,10:50,sm,2,control,16
WS,bif,2020,15,6/5/20,10:50,sm,3,control,16
WS,bif,2020,15,6/5/20,10:50,sm,4,control,16
WS,bif,2020,15,6/5/20,10:50,sm,5,control,16.1
WS,bif,2020,15,6/5/20,10:50,sm,6,control,16
WS,bif,2020,15,6/5/20,10:50,sm,7,control,16
WS,bif,2020,15,6/5/20,10:50,sm,8,control,16
WS,bif,2020,15,6/6/20,8:30,lg,1,control,14.1
WS,bif,2020,15,6/6/20,8:30,lg,2,control,14.6
WS,bif,2020,15,6/6/20,8:30,lg,3,control,14.1
WS,bif,2020,15,6/6/20,8:30,lg,4,control,14.6
WS,bif,2020,15,6/6/20,8:30,sm,1,control,14.7
WS,bif,2020,15,6/6/20,8:30,sm,2,control,14.7
WS,bif,2020,15,6/6/20,8:30,sm,3,control,14.7
WS,bif,2020,15,6/6/20,8:30,sm,4,control,14.7
WS,bif,2020,15,6/6/20,8:30,sm,5,control,14.7
WS,bif,2020,15,6/6/20,8:30,sm,6,control,14.6
WS,bif,2020,15,6/6/20,8:30,sm,7,control,14.7
WS,bif,2020,15,6/6/20,8:30,sm,8,control,14.6