spp,targettemp,contaminant,date,hatchdate,dph,TrialDay,nomconc,dishcolor,dishrep,SB,AES,AW,MM,TS,mean
WS,15,bif,6/3/20,5/28/20,5,3,2000,Blue,1,,,,,,
WS,15,bif,6/3/20,5/28/20,5,3,2000,Blue,2,100,100,95,,,98.3
WS,15,bif,6/3/20,5/28/20,5,3,2000,Blue,3,100,100,95,,,98.3
WS,15,bif,6/3/20,5/28/20,5,3,2000,Blue,4,,,95,,,95
WS,15,bif,6/3/20,5/28/20,5,3,1000,Pink,1,90,90,90,,,90
WS,15,bif,6/3/20,5/28/20,5,3,1000,Pink,2,80,90,90,,,86.7
WS,15,bif,6/3/20,5/28/20,5,3,1000,Pink,3,80,75,85,,,80
WS,15,bif,6/3/20,5/28/20,5,3,1000,Pink,4,70,80,,,,75
WS,15,bif,6/3/20,5/28/20,5,3,500,Red,1,16,25,50,,,30.3
WS,15,bif,6/3/20,5/28/20,5,3,500,Red,2,15,10,30,,,18.3
WS,15,bif,6/3/20,5/28/20,5,3,500,Red,3,,,,,,
WS,15,bif,6/3/20,5/28/20,5,3,500,Red,4,10,15,40,,,21.7
WS,15,bif,6/3/20,5/28/20,5,3,100,Yellow,1,2,10,15,,,9
WS,15,bif,6/3/20,5/28/20,5,3,100,Yellow,2,2,5,5,,,4
WS,15,bif,6/3/20,5/28/20,5,3,100,Yellow,3,0,0,15,,,5
WS,15,bif,6/3/20,5/28/20,5,3,100,Yellow,4,0,5,25,,,10
WS,15,bif,6/3/20,5/28/20,5,3,5,Green,1,,0,5,,,2.5
WS,15,bif,6/3/20,5/28/20,5,3,5,Green,2,0,0,10,,,3.3
WS,15,bif,6/3/20,5/28/20,5,3,5,Green,3,2,2,10,,,4.7
WS,15,bif,6/3/20,5/28/20,5,3,5,Green,4,0,2,35,,,12.3
WS,15,bif,6/3/20,5/28/20,5,3,0,Control,1,2,0,0,,,0.7
WS,15,bif,6/3/20,5/28/20,5,3,0,Control,2,0,0,0,,,0
WS,15,bif,6/3/20,5/28/20,5,3,0,Control,3,,,0,,,0
WS,15,bif,6/3/20,5/28/20,5,3,0,Control,4,0,0,0,,,0
WS,15,bif,6/4/20,5/28/20,6,4,2000,Blue,1,100,100,100,,,100
WS,15,bif,6/4/20,5/28/20,6,4,2000,Blue,2,100,100,95,,,98.3
WS,15,bif,6/4/20,5/28/20,6,4,2000,Blue,3,100,100,97,,,99
WS,15,bif,6/4/20,5/28/20,6,4,2000,Blue,4,100,100,95,,,98.3
WS,15,bif,6/4/20,5/28/20,6,4,1000,Pink,1,100,98,90,,,96
WS,15,bif,6/4/20,5/28/20,6,4,1000,Pink,2,100,95,90,,,95
WS,15,bif,6/4/20,5/28/20,6,4,1000,Pink,3,94,75,90,,,86.3
WS,15,bif,6/4/20,5/28/20,6,4,1000,Pink,4,96,90,85,,,90.3
WS,15,bif,6/4/20,5/28/20,6,4,500,Red,1,70,40,85,,,65
WS,15,bif,6/4/20,5/28/20,6,4,500,Red,2,60,10,80,,,50
WS,15,bif,6/4/20,5/28/20,6,4,500,Red,3,60,15,50,,,41.7
WS,15,bif,6/4/20,5/28/20,6,4,500,Red,4,50,15,50,,,38.3
WS,15,bif,6/4/20,5/28/20,6,4,100,Yellow,1,4,2,5,,,3.7
WS,15,bif,6/4/20,5/28/20,6,4,100,Yellow,2,2,2,2,,,2
WS,15,bif,6/4/20,5/28/20,6,4,100,Yellow,3,0,2,5,,,2.3
WS,15,bif,6/4/20,5/28/20,6,4,100,Yellow,4,2,2,10,,,4.7
WS,15,bif,6/4/20,5/28/20,6,4,5,Green,1,0,0,2,,,0.7
WS,15,bif,6/4/20,5/28/20,6,4,5,Green,2,2,4,10,,,5.3
WS,15,bif,6/4/20,5/28/20,6,4,5,Green,3,0,2,15,,,5.7
WS,15,bif,6/4/20,5/28/20,6,4,5,Green,4,0,0,5,,,1.7
WS,15,bif,6/4/20,5/28/20,6,4,0,Control,1,0,0,0,,,0
WS,15,bif,6/4/20,5/28/20,6,4,0,Control,2,2,2,0,,,1.3
WS,15,bif,6/4/20,5/28/20,6,4,0,Control,3,0,0,0,,,0
WS,15,bif,6/4/20,5/28/20,6,4,0,Control,4,0,0,0,,,0
WS,15,bif,6/5/20,5/28/20,7,5,2000,Blue,1,100,100,,100,,100
WS,15,bif,6/5/20,5/28/20,7,5,2000,Blue,2,100,100,,100,,100
WS,15,bif,6/5/20,5/28/20,7,5,2000,Blue,3,100,100,,100,,100
WS,15,bif,6/5/20,5/28/20,7,5,2000,Blue,4,100,100,,100,,100
WS,15,bif,6/5/20,5/28/20,7,5,1000,Pink,1,100,100,,100,,100
WS,15,bif,6/5/20,5/28/20,7,5,1000,Pink,2,100,100,,100,,100
WS,15,bif,6/5/20,5/28/20,7,5,1000,Pink,3,100,95,,96,,97
WS,15,bif,6/5/20,5/28/20,7,5,1000,Pink,4,100,100,,98,,99.3
WS,15,bif,6/5/20,5/28/20,7,5,500,Red,1,50,50,,84,,61.3
WS,15,bif,6/5/20,5/28/20,7,5,500,Red,2,50,25,,80,,51.7
WS,15,bif,6/5/20,5/28/20,7,5,500,Red,3,70,40,,88,,66
WS,15,bif,6/5/20,5/28/20,7,5,500,Red,4,60,50,,80,,63.3
WS,15,bif,6/5/20,5/28/20,7,5,100,Yellow,1,4,0,,2,,2
WS,15,bif,6/5/20,5/28/20,7,5,100,Yellow,2,0,0,,4,,1.3
WS,15,bif,6/5/20,5/28/20,7,5,100,Yellow,3,2,0,,0,,0.7
WS,15,bif,6/5/20,5/28/20,7,5,100,Yellow,4,6,0,,0,,2
WS,15,bif,6/5/20,5/28/20,7,5,5,Green,1,,0,,0,,0
WS,15,bif,6/5/20,5/28/20,7,5,5,Green,2,0,0,,0,,0
WS,15,bif,6/5/20,5/28/20,7,5,5,Green,3,4,0,,0,,1.3
WS,15,bif,6/5/20,5/28/20,7,5,5,Green,4,0,0,,0,,0
WS,15,bif,6/5/20,5/28/20,7,5,0,Control,1,0,0,,0,,0
WS,15,bif,6/5/20,5/28/20,7,5,0,Control,2,2,0,,2,,1.3
WS,15,bif,6/5/20,5/28/20,7,5,0,Control,3,2,0,,2,,1.3
WS,15,bif,6/5/20,5/28/20,7,5,0,Control,4,0,0,,0,,0
WS,15,bif,6/6/20,5/28/20,8,6,2000,Blue,1,100,100,,,,100
WS,15,bif,6/6/20,5/28/20,8,6,2000,Blue,2,100,100,,,100,100
WS,15,bif,6/6/20,5/28/20,8,6,2000,Blue,3,100,100,,,,100
WS,15,bif,6/6/20,5/28/20,8,6,2000,Blue,4,100,100,,,,100
WS,15,bif,6/6/20,5/28/20,8,6,1000,Pink,1,100,100,,,100,100
WS,15,bif,6/6/20,5/28/20,8,6,1000,Pink,2,100,100,,,,100
WS,15,bif,6/6/20,5/28/20,8,6,1000,Pink,3,100,95,,,,97.5
WS,15,bif,6/6/20,5/28/20,8,6,1000,Pink,4,100,95,,,100,98.3
WS,15,bif,6/6/20,5/28/20,8,6,500,Red,1,75,85,,,68,76
WS,15,bif,6/6/20,5/28/20,8,6,500,Red,2,50,80,,,96,75.3
WS,15,bif,6/6/20,5/28/20,8,6,500,Red,3,40,30,,,62,44
WS,15,bif,6/6/20,5/28/20,8,6,500,Red,4,40,30,,,38,36
WS,15,bif,6/6/20,5/28/20,8,6,100,Yellow,1,10,5,,,12,9
WS,15,bif,6/6/20,5/28/20,8,6,100,Yellow,2,6,0,,,4,3.3
WS,15,bif,6/6/20,5/28/20,8,6,100,Yellow,3,2,0,,,6,2.7
WS,15,bif,6/6/20,5/28/20,8,6,100,Yellow,4,4,0,,,,2
WS,15,bif,6/6/20,5/28/20,8,6,5,Green,1,4,0,,,0,1.3
WS,15,bif,6/6/20,5/28/20,8,6,5,Green,2,2,2,,,0,1.3
WS,15,bif,6/6/20,5/28/20,8,6,5,Green,3,0,0,,,4,1.3
WS,15,bif,6/6/20,5/28/20,8,6,5,Green,4,,0,,,0,0
WS,15,bif,6/6/20,5/28/20,8,6,0,Control,1,0,0,,,0,0
WS,15,bif,6/6/20,5/28/20,8,6,0,Control,2,2,2,,,2,2
WS,15,bif,6/6/20,5/28/20,8,6,0,Control,3,2,2,,,2,2
WS,15,bif,6/6/20,5/28/20,8,6,0,Control,4,0,0,,,0,0