spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,12,10,29,0.138,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,13,10,23,0.057,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,14,10,23,0.046,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,15,10,25,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,yellow,G,15,0010ug,R3.4,16,10,31,0.15,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,1,100,23,0.083,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,2,100,22,0.094,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,3,100,20,0.058,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,4,100,21,0.06,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,5,100,27,0.1,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,6,100,23,0.083,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,7,100,21,0.061,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R1.2,8,100,24,0.093,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,9,100,25,0.08,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,10,100,28,0.132,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,11,100,31,0.165,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,12,100,29,0.129,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,13,100,28,0.11,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,14,100,26,0.1,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,15,100,27,0.119,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,red,G,15,0100ug,R3.4,16,100,22,0.044,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,1,500,24,0.077,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,2,500,23,0.079,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,3,500,27,0.114,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,4,500,27,0.117,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,5,500,23,0.082,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,6,500,25,0.093,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,7,500,29,0.148,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R1.2,8,500,29,0.133,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,9,500,21,0.057,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,10,500,27,0.098,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,11,500,26,0.082,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,12,500,24,0.084,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,13,500,25,0.138,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,14,500,31,0.172,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,15,500,25,0.107,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,pink,G,15,0500ug,R3.4,16,500,24,0.085,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,1,1000,23,0.073,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,2,1000,30,0.136,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,3,1000,27,0.109,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,4,1000,24,0.095,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,5,1000,26,0.115,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,6,1000,24,0.099,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,7,1000,21,0.088,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R1.2,8,1000,27,0.12,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,9,1000,25,0.101,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,10,1000,25,0.091,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,11,1000,31,0.145,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,12,1000,27,0.112,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,13,1000,23,0.069,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,14,1000,26,0.097,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,15,1000,27,0.115,
WS,6/17/21,5/21/21,27,WJ/MRD,fip,blue,G,15,1000ug,R3.4,16,1000,23,0.08,
WS,6/28/21,5/21/21,38,AES,fip,pink,F,15,0500ug,R3.4,1,500,40.8,0.4,
WS,6/28/21,5/21/21,38,AES,fip,pink,F,15,0500ug,R1.2,2,500,33.6,0.24,
WS,6/28/21,5/21/21,38,AES,fip,white,F,15,0000ug,R1.2,1,0,38,0.3,
WS,6/28/21,5/21/21,38,AES,fip,red,F,15,0100ug,R1.2,1,100,33.1,0.17,
WS,6/28/21,5/21/21,38,AES,fip,blue,F,15,1000ug,R3.4,1,1000,35,0.24,
WS,6/28/21,5/21/21,38,AES,fip,red,F,15,0100ug,R1.2,2,100,40.5,0.36,
WS,6/28/21,5/21/21,38,AES,fip,blue,F,15,1000ug,R3.4,2,1000,38.5,0.5,
WS,6/28/21,5/21/21,38,AES,fip,yellow,F,15,0010ug,R3.4,1,10,37.9,0.26,
WS,6/28/21,5/21/21,38,AES,fip,green,F,15,0001ug,R3.4,1,1,40.3,0.32,
WS,6/28/21,5/21/21,38,AES,fip,white,F,15,0000ug,R1.2,2,0,32.3,0.17,
WS,6/28/21,5/21/21,38,AES,fip,green,F,15,0001ug,R3.4,2,1,45.7,0.46,
WS,6/28/21,5/21/21,38,AES,fip,yellow,F,15,0010ug,R1.2,2,10,40,0.29,
WS,6/28/21,5/21/21,38,AES,fip,pink,F,15,0500ug,R3.4,3,500,37.1,0.24,
WS,6/28/21,5/21/21,38,AES,fip,green,F,15,0001ug,R1.2,3,1,40.3,0.35,
WS,6/28/21,5/21/21,38,AES,fip,yellow,F,15,0010ug,R3.4,3,10,33.1,0.22,
WS,6/28/21,5/21/21,38,AES,fip,green,F,15,0001ug,R1.2,4,1,39,0.33,
WS,6/28/21,5/21/21,38,AES,fip,white,F,15,0000ug,R3.4,3,0,48.6,0.62,
WS,6/28/21,5/21/21,38,AES,fip,yellow,F,15,0010ug,R1.2,4,10,39.3,0.35,
WS,6/29/21,5/21/21,39,AES,fip,red,F,15,0100ug,R3.4,3,100,33.2,0.2,
WS,6/29/21,5/21/21,39,AES,fip,blue,F,15,1000ug,R1.2,3,1000,35.5,0.24,
WS,6/29/21,5/21/21,39,AES,fip,red,F,15,0100ug,R3.4,4,100,42.6,0.41,
WS,6/29/21,5/21/21,39,AES,fip,blue,F,15,1000ug,R1.2,4,1000,50.6,0.6,
WS,6/29/21,5/21/21,39,AES,fip,pink,F,15,0500ug,R1.2,4,500,39.8,0.29,
WS,6/29/21,5/21/21,39,AES,fip,white,F,15,0000ug,R3.4,4,0,42.8,0.41,
WS,6/29/21,5/21/21,39,AES,fip,pink,F,15,0500ug,R1.2,5,500,35,0.16,
WS,6/29/21,5/21/21,39,AES,fip,green,F,15,0001ug,R3.4,5,1,38,0.37,
WS,6/29/21,5/21/21,39,AES,fip,green,F,15,0001ug,R1.2,6,1,40,0.34,
WS,6/29/21,5/21/21,39,AES,fip,green,F,15,0001ug,R1.2,7,1,31,0.18,
WS,6/29/21,5/21/21,39,AES,fip,yellow,F,15,0010ug,R1.2,5,10,33,0.19,
WS,6/29/21,5/21/21,39,AES,fip,white,F,15,0000ug,R1.2,5,0,44,0.56,
WS,6/29/21,5/21/21,39,AES,fip,red,F,15,0100ug,R1.2,5,100,37.7,0.34,
WS,6/29/21,5/21/21,39,AES,fip,pink,F,15,0500ug,R1.2,6,500,42.3,0.45,
WS,6/29/21,5/21/21,39,AES,fip,yellow,F,15,0010ug,R3.4,6,10,35.6,0.31,
WS,6/29/21,5/21/21,39,AES,fip,blue,F,15,1000ug,R1.2,5,1000,43.7,0.46,
WS,6/29/21,5/21/21,39,AES,fip,blue,F,15,1000ug,R3.4,6,1000,34.1,0.23,
WS,6/29/21,5/21/21,39,AES,fip,yellow,F,15,0010ug,R3.4,7,10,43.3,0.38,
WS,6/29/21,5/21/21,39,AES,fip,red,F,15,0100ug,R1.2,6,100,32.6,0.2,
WS,6/29/21,5/21/21,39,AES,fip,blue,F,15,1000ug,R1.2,7,1000,22.4,0.07,
WS,6/29/21,5/21/21,39,AES,fip,red,F,15,0100ug,R3.4,7,100,37.8,0.42,
WS,6/29/21,5/21/21,39,AES,fip,red,F,15,0100ug,R3.4,8,100,43.4,0.61,
WS,6/29/21,5/21/21,39,AES,fip,blue,F,15,1000ug,R3.4,8,1000,33.7,0.37,
WS,6/29/21,5/21/21,39,AES,fip,pink,F,15,0500ug,R3.4,7,500,46,0.7,
WS,6/29/21,5/21/21,39,AES,fip,white,F,15,0000ug,R3.4,6,0,38.9,0.33,
WS,6/29/21,5/21/21,39,AES,fip,white,F,15,0000ug,R1.2,7,0,39.8,0.28,
WS,6/29/21,5/21/21,39,AES,fip,yellow,F,15,0010ug,R1.2,8,10,31.7,0.17,
WS,6/29/21,5/21/21,39,AES,fip,green,F,15,0001ug,R3.4,8,1,38.6,0.32,
WS,6/29/21,5/21/21,39,AES,fip,white,F,15,0000ug,R3.4,8,0,45.1,0.57,
WS,6/29/21,5/21/21,39,AES,fip,pink,F,15,0500ug,R3.4,8,500,43.5,0.66,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R3.4,9,500,36.7,0.31,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R3.4,10,500,43.8,0.47,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R3.4,9,10,46.3,0.47,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R3.4,9,1000,49.3,0.54,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R1.2,10,1000,32.2,0.2,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R3.4,9,1,51.7,0.74,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R1.2,10,1,41.5,0.33,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R1.2,10,10,39.6,0.33,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R3.4,9,0,46.3,0.46,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,11,500,40,0.35,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R3.4,9,100,48.7,0.61,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R1.2,10,0,37.3,0.25,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R3.4,10,100,32.4,0.18,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R1.2,11,100,39.9,0.31,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,12,500,49,0.89,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R1.2,11,1,44.4,0.41,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R3.4,11,10,40.4,0.35,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R1.2,11,0,37.9,0.23,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R3.4,12,0,46.3,0.48,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R1.2,12,100,35.5,0.3,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R1.2,11,1000,35.8,0.28,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R3.4,12,1,37.1,0.33,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R1.2,12,10,48.2,0.68,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R3.4,12,1000,43.8,0.42,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R1.2,13,1000,39.9,0.4,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R3.4,13,1,31.6,0.17,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R1.2,13,10,39.5,0.39,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,13,500,38.6,0.34,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R1.2,14,10,32.2,0.16,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R3.4,13,100,38.1,0.31,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,14,500,29,0.2,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R3.4,13,0,46.9,0.5,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R3.4,14,1,33.9,0.27,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R3.4,14,1000,26.6,0.16,
WS,6/30/21,5/21/21,40,AES,fip,blue,F,15,1000ug,R3.4,15,1000,43,0.56,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R1.2,15,100,38.9,0.56,
WS,6/30/21,5/21/21,40,AES,fip,green,F,15,0001ug,R1.2,15,1,42.4,0.47,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R1.2,14,0,41.9,0.38,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R3.4,15,500,40.1,0.36,
WS,6/30/21,5/21/21,40,AES,fip,red,F,15,0100ug,R1.2,14,100,45.8,0.42,
WS,6/30/21,5/21/21,40,AES,fip,yellow,F,15,0010ug,R3.4,15,10,46.4,0.51,
WS,6/30/21,5/21/21,40,AES,fip,white,F,15,0000ug,R3.4,15,0,44,0.39,
WS,6/30/21,5/21/21,40,AES,fip,pink,F,15,0500ug,R1.2,16,500,48.6,0.69,