dishID,group,targettempC,contaminant,treatment,rep,spp,year,ExptLossday1,TrueMortday1,Nday1,ExptLossday2,TrueMortday2,Nday2,ExptLossday3,TrueMortday3,Nday3,ExptLossday4,TrueMortday4,Nday4,ExptLossday5,TrueMortday5,Nday5,Nrecordedday5,Nspinnerday5
g-15C-0000ng-R1,g,15,bif,0,1,GS,2020,,,21,0,0,21,0,1,20,0,0,20,,0,20,20,7
g-15C-0000ng-R2,g,15,bif,0,2,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,4
g-15C-0000ng-R3,g,15,bif,0,3,GS,2020,,,20,0,0,20,0,0,20,0,1,19,,0,19,19,2
g-15C-0000ng-R4,g,15,bif,0,4,GS,2020,,,20,0,0,20,0,0,20,0,1,19,,0,19,19,3
g-15C-0005ng-R1,g,15,bif,5,1,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,4
g-15C-0005ng-R2,g,15,bif,5,2,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,3
g-15C-0005ng-R3,g,15,bif,5,3,GS,2020,,,20,0,0,20,0,0,20,1,0,19,,0,19,19,1
g-15C-0005ng-R4,g,15,bif,5,4,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,5
g-15C-0100ng-R1,g,15,bif,100,1,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,5
g-15C-0100ng-R2,g,15,bif,100,2,GS,2020,,,22,0,0,22,0,0,22,0,0,22,,0,22,22,5
g-15C-0100ng-R3,g,15,bif,100,3,GS,2020,,,19,0,0,19,0,0,19,0,0,19,,0,19,19,4
g-15C-0100ng-R4,g,15,bif,100,4,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,4
g-15C-0500ng-R1,g,15,bif,500,1,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,2
g-15C-0500ng-R2,g,15,bif,500,2,GS,2020,,,20,0,1,19,0,0,19,0,0,19,,0,19,19,3
g-15C-0500ng-R3,g,15,bif,500,3,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,3
g-15C-0500ng-R4,g,15,bif,500,4,GS,2020,,,20,0,0,20,0,0,20,0,1,19,,0,19,19,2
g-15C-1000ng-R1,g,15,bif,1000,1,GS,2020,,,20,1,0,19,0,0,19,0,0,19,,0,19,19,2
g-15C-1000ng-R2,g,15,bif,1000,2,GS,2020,,,20,0,0,20,0,0,20,0,0,20,,0,20,20,3
g-15C-1000ng-R3,g,15,bif,1000,3,GS,2020,,,20,0,0,20,1,0,19,0,0,19,,0,19,19,4
g-15C-1000ng-R4,g,15,bif,1000,4,GS,2020,,,22,0,0,22,0,0,22,0,0,22,,0,22,22,3
g-15C-2000ng-R1,g,15,bif,2000,1,GS,2020,,,19,0,0,19,0,0,19,0,1,18,,1,17,17,1
g-15C-2000ng-R2,g,15,bif,2000,2,GS,2020,,,19,0,0,19,0,0,19,0,0,19,,0,19,19,0
g-15C-2000ng-R3,g,15,bif,2000,3,GS,2020,,,21,0,0,21,0,0,21,0,2,19,,0,19,19,0
g-15C-2000ng-R4,g,15,bif,2000,4,GS,2020,,,19,0,0,19,0,0,19,0,0,19,,0,19,19,2